IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
130.162.169.163,443,443,true,FRA,Europe,Frankfurt,349,8.56
144.24.78.162,443,443,true,ICN,Asia Pacific,Seoul,211,8.50
84.8.159.246,443,443,true,FRA,Europe,Frankfurt,265,8.50
158.180.21.128,443,443,true,FRA,Europe,Frankfurt,418,8.46
158.101.219.152,443,443,true,FRA,Europe,Frankfurt,411,8.39
141.148.228.234,443,443,true,FRA,Europe,Frankfurt,278,8.39
130.162.63.193,443,443,true,FRA,Europe,Frankfurt,220,8.37
84.8.150.98,443,443,true,FRA,Europe,Frankfurt,229,8.35
79.72.72.102,443,443,true,FRA,Europe,Frankfurt,231,8.35
141.148.240.99,443,443,true,FRA,Europe,Frankfurt,260,8.34
144.21.52.250,443,443,true,FRA,Europe,Frankfurt,301,8.33
141.147.73.9,443,443,true,FRA,Europe,Frankfurt,286,8.31
192.9.137.193,8443,443,true,SJC,North America,San Jose,246,8.29
141.144.192.220,443,443,true,FRA,Europe,Frankfurt,368,8.28
89.168.112.118,2053,443,true,FRA,Europe,Frankfurt,223,8.27
130.162.230.14,443,443,true,FRA,Europe,Frankfurt,234,8.22
79.76.103.103,443,443,true,FRA,Europe,Frankfurt,226,8.18
141.147.78.89,443,443,true,FRA,Europe,Frankfurt,320,8.14
89.168.112.118,2096,443,true,FRA,Europe,Frankfurt,252,8.14
141.147.1.122,443,443,true,FRA,Europe,Frankfurt,392,8.13
152.67.136.221,443,443,true,FRA,Europe,Frankfurt,364,8.10
141.147.81.190,443,443,true,FRA,Europe,Frankfurt,245,8.04
79.76.112.200,443,443,true,FRA,Europe,Frankfurt,208,8.03
158.180.56.231,443,443,true,FRA,Europe,Frankfurt,314,8.01
141.148.239.173,443,443,true,FRA,Europe,Frankfurt,259,8.00
79.76.110.88,443,443,true,FRA,Europe,Frankfurt,271,7.98
144.21.32.155,443,443,true,FRA,Europe,Frankfurt,303,7.97
141.147.83.223,443,443,true,FRA,Europe,Frankfurt,211,7.94
158.178.148.69,443,443,true,FRA,Europe,Frankfurt,347,7.92
141.147.163.68,443,443,true,NRT,Asia Pacific,Tokyo,250,7.89
143.47.183.202,443,443,true,FRA,Europe,Frankfurt,342,7.85
79.72.92.143,443,443,true,FRA,Europe,Frankfurt,215,7.83
84.8.147.226,443,443,true,FRA,Europe,Frankfurt,216,7.79
158.180.32.77,443,443,true,FRA,Europe,Frankfurt,486,7.71
130.162.168.212,443,443,true,FRA,Europe,Frankfurt,227,7.71
143.47.180.33,443,443,true,FRA,Europe,Frankfurt,276,7.71
144.21.41.121,443,443,true,FRA,Europe,Frankfurt,284,7.70
84.235.165.38,443,443,true,FRA,Europe,Frankfurt,218,7.67
158.178.155.114,443,443,true,FRA,Europe,Frankfurt,425,7.67
