IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.180.44.69,443,443,true,FRA,Europe,Frankfurt,236,7.88
158.101.223.84,443,443,true,FRA,Europe,Frankfurt,402,7.86
141.148.234.66,443,443,true,FRA,Europe,Frankfurt,233,7.85
132.145.237.245,443,443,true,FRA,Europe,Frankfurt,300,7.85
132.145.233.155,443,443,true,FRA,Europe,Frankfurt,168,7.79
141.148.246.15,443,443,true,FRA,Europe,Frankfurt,285,7.78
150.230.112.46,443,443,true,FRA,Europe,Frankfurt,237,7.77
129.159.241.250,443,443,true,FRA,Europe,Frankfurt,316,7.77
143.47.237.7,443,443,true,FRA,Europe,Frankfurt,398,7.75
144.21.53.194,443,443,true,FRA,Europe,Frankfurt,391,7.73
84.8.153.90,443,443,true,FRA,Europe,Frankfurt,309,7.72
130.162.225.120,443,443,true,FRA,Europe,Frankfurt,433,7.68
89.168.85.172,8443,443,true,FRA,Europe,Frankfurt,270,7.62
79.72.82.202,443,443,true,FRA,Europe,Frankfurt,398,7.59
84.8.149.225,443,443,true,FRA,Europe,Frankfurt,328,7.58
141.147.91.181,443,443,true,FRA,Europe,Frankfurt,318,7.54
138.2.162.57,443,443,true,FRA,Europe,Frankfurt,463,7.53
164.152.26.70,2052,443,true,ORD,North America,Chicago,264,7.51
141.148.246.44,443,443,true,FRA,Europe,Frankfurt,256,7.51
158.180.12.2,443,443,true,FRA,Europe,Frankfurt,278,7.49
141.147.84.166,443,443,true,FRA,Europe,Frankfurt,455,7.48
132.226.205.143,443,443,true,FRA,Europe,Frankfurt,274,7.46
40.233.70.7,8443,443,true,YYZ,North America,Toronto,418,7.44
130.61.170.78,443,443,true,FRA,Europe,Frankfurt,269,7.41
143.47.186.59,443,443,true,FRA,Europe,Frankfurt,255,7.41
158.101.209.73,443,443,true,FRA,Europe,Frankfurt,378,7.37
89.168.101.166,443,443,true,FRA,Europe,Frankfurt,314,7.36
84.8.146.247,443,443,true,FRA,Europe,Frankfurt,295,7.34
144.24.182.238,443,443,true,FRA,Europe,Frankfurt,409,7.29
89.168.118.118,443,443,true,FRA,Europe,Frankfurt,293,7.27
84.235.167.196,443,443,true,FRA,Europe,Frankfurt,373,7.25
131.186.22.123,443,443,true,ICN,Asia Pacific,Seoul,346,7.21
130.162.165.27,443,443,true,FRA,Europe,Frankfurt,270,7.20
144.21.32.62,443,443,true,FRA,Europe,Frankfurt,260,7.20
141.147.78.89,443,443,true,FRA,Europe,Frankfurt,330,7.18
89.168.85.172,2096,443,true,FRA,Europe,Frankfurt,317,7.17
143.47.238.93,443,443,true,FRA,Europe,Frankfurt,414,7.13
130.162.233.110,443,443,true,FRA,Europe,Frankfurt,428,7.11
130.162.230.224,443,443,true,FRA,Europe,Frankfurt,256,7.10
79.72.66.11,443,443,true,FRA,Europe,Frankfurt,287,7.09
130.162.243.227,443,443,true,FRA,Europe,Frankfurt,336,7.07
79.72.88.86,443,443,true,FRA,Europe,Frankfurt,222,7.07
130.162.57.144,443,443,true,FRA,Europe,Frankfurt,407,7.04
89.168.40.250,443,443,true,CDG,Europe,Paris,290,7.04
89.168.85.172,2053,443,true,FRA,Europe,Frankfurt,260,7.03
143.47.255.29,443,443,true,FRA,Europe,Frankfurt,273,6.98
158.178.157.30,443,443,true,FRA,Europe,Frankfurt,234,6.96
164.152.17.14,443,443,true,ORD,North America,Chicago,247,6.95
130.162.174.90,443,443,true,FRA,Europe,Frankfurt,397,6.94
130.162.52.152,443,443,true,FRA,Europe,Frankfurt,352,6.92
130.162.175.158,443,443,true,FRA,Europe,Frankfurt,326,6.89
141.147.98.134,443,443,true,FRA,Europe,Frankfurt,325,6.88
158.101.210.146,443,443,true,FRA,Europe,Frankfurt,422,6.78
79.72.75.95,443,443,true,AMS,Europe,Amsterdam,259,6.75
144.21.49.249,443,443,true,FRA,Europe,Frankfurt,406,6.73
143.47.251.96,443,443,true,FRA,Europe,Frankfurt,385,6.65
84.235.167.167,443,443,true,FRA,Europe,Frankfurt,270,6.62
158.178.196.15,2053,443,true,CDG,Europe,Paris,352,6.59
141.145.199.188,443,443,true,CDG,Europe,Paris,319,6.50
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,283,6.46
